- 13. Álvaro Ogalde Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Brito | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Matías Oliva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Felipe Medina | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Marcelo Cáceres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Malcom Ilich | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Salinas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Gabriel Lepe | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ramón Clíment | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ítalo Pinochet | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. José Garcés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Moisés Candia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Matías Delgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Fabián Astorga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Jesús Yáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Espinoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hugo Toro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Pérez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Silva Gaunes (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Benjamín Pérez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Retamales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Nicolás Ortega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Padilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Quilaleo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Dante Bustamante | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Wladimir Cid | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Luis Romero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Cristhian Collao | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Soto Riffo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Leiva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Miranda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Abán (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Diego Huerta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Vega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Araya (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Sebastián Rivera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Víctor Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Nelson Pinto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Lecaros (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Quiñones (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Ramírez Cadogán (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gino Alarcón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mauricio Riffo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dilan Vera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Ivo Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Bernal (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hugo Rojo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Isaac Olivares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Elías Borrego (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alex Rubén Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Espinoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Inostroza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Ballesteros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Sebastián Romero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Levinao | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Andy Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eric Pino | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Bryan Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marcelo Ramírez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marcelo Palma | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Cabrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Vega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gianfranco Sepúlveda (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Villarroel | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Estrada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Campestrini (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego González Saavedra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabrizio Manzo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Sarria | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jairo Vásquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Mundaca (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Sánchez (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Bórquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Godoy | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Montaño (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zamora | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Brito | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Willian Gama (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yeiko Cartagena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Víctor Rivero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Olivares (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Camilo Badilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Flores (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Tarifeño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Espinoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Pérez (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Abarzúa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Milton Álvarez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Avello | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Moreira (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Moreyra (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Rodríguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Abdala | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Cabrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Cárcamo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Césped | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Escobar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Aldrix Jara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Facundo Juárez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Da Silva (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Fritz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Zacarías Abuhabda (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Ramírez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Mariñelarena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara Quezada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Natalia Mariñelarena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Muriel Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Paz (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Branco Provoste | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Riquelme (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Pinto (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sindy Painemilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Matamoros (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Salvador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- María Paz Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Milena Rubilar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gloria Cantillana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Makarena Rubilar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Julia Osse | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nayareth Orrego | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Macarena Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Josefina Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carmen Salinas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Barahona | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gloria Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Anaís Cortés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bairo Riveros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Peranic | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Augusto Aguirre (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brian Torrealba | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Peñailillo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yonathan Andía | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Pacheco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alfonso Parot | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Danilo Catalán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dylan Portilla (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Álvarez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Romero (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Harol Salgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Josué Ovalle | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Sandoval | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Llantén | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Silva (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Guerra (VEN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Paul Charpentier (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Morales (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- César Pinares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Elizabeth Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Karolayn Gálvez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Hidalgo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Macaya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Miranda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Katherinne Ojeda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pamela Pérez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Liornna Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Valencia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ángela Vásquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fanny Velásquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Octavio Zuleta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Poblete (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maythe Baez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brisa Gómez Navarrete (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Barrios | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yorman Zapata (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Atalia Quezada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Plaza (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Arce (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Felipe Hernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Guerra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Facundo Pons (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jane Oyarce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Sebastián Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Axel Alfonzo (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Molina (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- César Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Facundo Marín (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Flavio Moya (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Sosa (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Meneses | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Montecinos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Arturia (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ramón Martínez (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Álvarez (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Guzmán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
