- Nicolás Cortés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Regodeceves | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Javier Vidal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Aguirre (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Calderón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Mario Ledezma | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Genaro Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Diego Pinto Beltrán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Vairon Roldán Leiva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Zepeda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente López Mella | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Cabrera (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Felipe Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Nicolás Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Patricio Carvajal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Ángel | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Arriagada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Ávila | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Brain Vega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Ceas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jourdan Cortés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Guerrero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Moyano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jan Cristóbal Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yerson Pujado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Rojas Delgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Segovia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Vega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luis Musrri | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Sepúlveda Arancibia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Stéfano Aguilera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Aguirre | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Díaz Carrasco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Caín Ocaranza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Encina | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Espinoza Reyes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Santana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Díaz Pizarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Olivares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Robinson Barrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Ángel | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Héctor Lastra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
