- Akerman Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ormeño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Wilson Piñones | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Ríos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mirko Serrano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Bobadilla (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brian Leiva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Pucheta (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Valencia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Pipistrelli (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kameron Campos (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Aguirre (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Martínez (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Vásquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Barrios Jorquera (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lens Leger (HAI) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ángelo Cortés (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Belardinelli (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- David Henríquez (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Sarria | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Felipe Cornejo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valentín Coria | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Rivera Arévalo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Cumián (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Bravo Naranjo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Abarzúa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Bravo (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Solano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ávila | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Serrano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Pavez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Monardes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joshua Ortiz (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Pínnola (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Riquelme (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Tolosa (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Minoban Becerra (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Mundaca (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Harding (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Meneses | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Cisternas (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Moreira (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Guerrero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gastón Novero (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marcelo Palma | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Suazo (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Montano (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
