- Gonzalo Collao Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Nicolás Barrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Sebastián Ramírez (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Báez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Quezada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Mundaca (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nozomi Kimura | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Rafael Viotti (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Víctor Rivero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Corrales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Ignacio Carrasco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Espejo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Mauro Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Ogaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Matamala | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Joaquín Agüero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Parra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Minoban Becerra (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Cáceres Aranda (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Retamal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Sebastián Prado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Lukas Román (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Vicencio | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Gabriel Sandoval | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álex Ibacache | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marco Antonio Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Hernán Hechalar (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan José Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Pablo Monreal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Fuentes Jiménez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Rosales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Pablo Caballero (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Jopia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Emiliano García (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Riveros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Andrade | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Velazco (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kilian Delgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Tellas (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eric Ahumada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Manuel Bravo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Ibáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Cisterna | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Lucas Triviño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nelson Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Ross | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Maximiliano Cuadra (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Maturana Caneo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Germán Moya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Palma | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Pinto (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Césped | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- David Escalante (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rodrigo Meléndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Fernando Barrientos (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Francisco Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Mario Parra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Pablo Vergara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Romero (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jorge Carrasco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Cortés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 37. Leonardo Olivera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Fernando Lazcano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Pablo Abdala (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rivaldo Hernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Meléndez (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Orrego | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Guerreño (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Héctor Almandoz (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián San Juan | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodolfo González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Escalona | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jhan Góngora | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Carlos Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Mathías López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Tomás Ortiz (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ballini (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Farías | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Cerato | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Retamal (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Emiliano Astorga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Cano (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Pavez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Diego Silva Valderrama | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Huidobro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maricela Peña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Darlyng Chipunavi | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Bernedo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Villarroel | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Harbottle | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Villagrán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Insaurralde (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Gauna (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Gotti (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Águila | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Roco (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Romero (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Matamoros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Evelyn Carlos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ángela Córdova | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kiara Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandra Espíndola | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Katherin Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Karinna Maluenda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juliana Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Cáceres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yexsael Carvajal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Cisternas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Joao Egaña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Evelyn Carvajal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ana Oña (BOL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jilary Gamboa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Antonia Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Vergara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kendra Leguas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Fernanda Galleguillos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Melany Ojeda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Avellaneda (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego González Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- René Vega (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Campagnaro (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Sandoval | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Leiva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Mulet (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Borgnino (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Urzúa (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Bravo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gastón Rodríguez (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bairon Monroy | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Arancibia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Alarcón (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Aguilar (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Cornejo (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Dalcio Giovagnoli | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Vargas (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Parraguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nahuel Donadell | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Brasil (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela Hernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Ayabire | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Di Maio (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Thiare Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leidy Véliz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Renilda Ovando | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jeannette Abarzúa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lauren Cuero (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Katherine Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cynthia Pérez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leidy Ojeda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Huerta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. César Bravo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Salazar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- David Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hugo Rojo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Muga (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ed Verhoeven | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gerardo Navarrete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Ledezma | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Barrera (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alex Valdés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Acevedo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rafael Arace (VEN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Delgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Zúñiga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dennis Valderrama | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jocelyn Oyarzo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Paula Meza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vanessa Ojeda (BOL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mayra Cáceres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Paulina Makowski (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucía Arenas (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Heredia (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Bustamante | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luis Alegría | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alberto Tejerina (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Max Fajardo (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yastin Navarro (2008) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Tapia (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald Guzmán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Branco Provoste | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Aldrix Jara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marthina Reyes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- César Huanca | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Quezada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Garrido | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Fritz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Méndez (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Gatica | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Pérez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Sandoval (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Robinson Porras (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Aránguiz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Conelli | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Roco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Youssef González (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
