- 1. Carlos Julio Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Martín Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Johan Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Rodrigo Collao | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Marcelo Romero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Daniel Velázquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ramón Clíment | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Araya Caniguante | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Lucas Astorga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Rodríguez Acosta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Danilo Bustamante | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Leonardo Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Braulio Ramos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Rodríguez Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Elián Olivares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Paul Olivares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Milovan Rozas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Campos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Mauricio Robles Robles | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Ogalde | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gian Zomoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Hernández Miguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Lezana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Samuel Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Ocampo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Duarte | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Oyarce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Pérez Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Fuentes Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zamora Olivares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Cepeda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Orrego | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Matías Ceriche | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Vargas Campusano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Miguel Troncoso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
