- Carlos Lampe Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Larcamon (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Baeza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Rodríguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Ramón Sáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Alexander Succar (PER) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Danny Pérez (VEN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Solano (Sub 20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Jopia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Sánchez (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Yonatan Riquelme | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Ricardo Álvarez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Castillo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Sánchez Sotelo (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gustavo Florentín (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Cuevas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Martínez Farías | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Torres Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Briceño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Osvaldo Cataldo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- John García (BOL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Parra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Gazzolo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Oyarzún | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dylan Aravena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Molina (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Israel Poblete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Garrido | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Denilson Ovando (ECU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Joffre Escobar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Mazzanti | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan José Luvera (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Tomás Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Roco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Bravo Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- César Huanca | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Mancilla (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Guaiquil | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Lobos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Ignacio Chandía | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Velásquez (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Ignacio Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Estrada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Álvaro Burgos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Montes (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Luciano Nequecaur (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yanette Jorquera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Karen Cona | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Evangely Herrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yenniffer Zambrano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mario Salas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Recabarren | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Emilia Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Aguilera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Tamara Urra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Céfora Esparza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Toledo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Liliana Llanos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Carolina Elgueta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luz Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Gabriela Salgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Stephania Troncoso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Patricia Fuentealba | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Carlos Contardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Kirly Navarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Osvaldo González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Renzo Malanca (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rodrigo Guerrero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Cañete (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Katalina Jiménez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Mella (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yaremi Retamal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tais Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlo Villanueva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Julián Brea (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Acosta (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gustavo Álvarez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Loyola | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yahir Salazar (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Astudillo (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Dylan Oyarzún | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Ignacio Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Espinoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela Chandía | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Darlin Charle | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Karina Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Scarlett Carocca | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marcelo Saavedra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Magnin (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Sáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Génesis González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Scheinfelt | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Provoste | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Karina Alarcón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Valentina Barra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yaravi Rivas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Constanza Neira | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Natalia Ruiz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alexandra Luengo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Florencia Roa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Vega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Imanol González (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jeisson Vargas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Briceño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Silva (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Sáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Zacarías López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Nicolás Cárcamo (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Javier Sanguinetti (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Velásquez (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maicol León | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Viviana Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Benjamín Ampuero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Martínez (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hernsley Pierre (HAI) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dilan Varas (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Valdivieso (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Santander (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Nardi (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Rocha (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Saavedra Oliveros (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maria Paz Valdivieso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Troncoso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Ampuero (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pino (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leonel Macaya (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Abarzúa (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Delgado (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Alvear (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Muñoz Lobos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Carrillo (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Simone Opazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Calbucura | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Escalona | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Aída Castillo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Fuentes Villa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Rubilar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Herrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcela Henríquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Méndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Florencia Quiroz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Cid | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Daisy Mardones | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Igor Oca (ESP) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Thiago Vecino (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Cerda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Conelli | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Bravo (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Mellado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Melgarejo (2009) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Uribe (2010) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Odriozola (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Garrido | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Óscar Ortega (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rafael Caroca | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lionel Altamirano (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jaime García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Pincheira | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ingrid Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Natalia Ocampo (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Pincheira | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Krystell Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nilson Concha | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Vargas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Andrea Zúñiga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabiola Ayala (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Melissa Méndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Cancino | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Antonella Hernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Diego Santelices | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Arriagada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Altez (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Britanny Robles | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Josefa Lagos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Belén Vilches | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ezequel Morales (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Herrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Toro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ezequiel Cañete (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Harold Antiñirre | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Cruzat | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Salazar (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Osorio (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Leiva (2009) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Urzúa (2009) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Cáceres (2008) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
