- 1. José Castillo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Joshoa Sotomayor (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kurt Zimmermann (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Latorre (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Llantén | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Luis Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Durán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Nicolás Solabarrieta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Matías Rosas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Michel Quezada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Carlos Bustamante (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Mendiburo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Paulette Marcell | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Thiare Quiroz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Pablo Vergara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Josefina Carrillo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Muriel Rodríguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Michelle Barreaux | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Martino Fiamengo (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Arenas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kirna Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. René Ávila | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Iglesias | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Navarrete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Novoa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Hidalgo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Cancino | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Pardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Caputto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Isabella Grinberg | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Vega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Lissette Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcela Rivera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jasmín Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Alexandra Burgos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 79. Deyanira Fuenzalida | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Mariela Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Fernanda Salgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sandra Vásquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Gladys Calderón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Mical Cárdenas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Renata Suazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Constanza Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Natasha Taiba | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Paola Mendoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dominique Raipán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Ayram Guerrero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Paulette Marcell | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Aranda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Millaray Recabal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Reyes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Karolyne Del Río | DEL (Del) | Edad: N/A | N??: N/A | Valor: N/A
- Rodolfo Gallardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Madelaine Jara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Taborda (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Padilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Rodríguez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Vidal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Fredes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maykol Sánchez (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Silva Gaunes (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Zúñiga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Artiga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Soto (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Pizarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Meza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ian Godoy | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Luque (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mario Rivera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabian Parodi (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Sandoval | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daud Gazale | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Gaune | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Cantillana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Aqueveque | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Reyes Herrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Candia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Muñoz Suazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Cisterna | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Jara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Farías | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Gamboa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Donatto Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Lecaros Meneses | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rodrigo Córdova | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Román | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Méndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mathias Gallardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Máximo Arancibia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Darko Guzmán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mayckol Concha | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marcelo Zunino | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Erik Ottesen | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Inostroza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Castro Gómez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
