- Luis Roa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Fredes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- David Peña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Fenolio | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Arévalo (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Manque | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Isaac Maturana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Droguett | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Aquino (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Díaz García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Romero (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Paillaqueo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Céspedes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Varas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Ambiado (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ángel Orellana (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Álvarez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Adriano Romero (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Lagües | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Iturra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Camilo Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jorge Maiben | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marcelo Jara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Ramírez Vargas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Cañete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Navarrete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Abarzúa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Jopia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Páez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Catalán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Font (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Massami Gutiérrez (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ángel Marval (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Tomás Herrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Araya (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Ramírez Cadogán (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Aníbal San Martín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jeckar Amaya (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rony Albornoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Martín Garnero (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Herrera Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Sebastián Pol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Amarilla (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eric Ahumada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Meneses | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Carrasco (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Abarca | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Lorca (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rubén Cepeda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Efraín Navarrete (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Ibarra (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Acevedo Neira (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joshua Arrué (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ian Núñez (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Molina (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Escobar (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kurt Zimmermann (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Herrera (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Núñez Tejos (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Cerón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bernardo Mendoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Paulo Magalhaes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Alfaro (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nelson Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Arredondo (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yoel Guirriman (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Maximiliano López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maykol Umaña (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Fuentes Alcaíno (2008) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Galdames (2008) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
