- 25. Emilio Torres Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Diego Ganga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Nicolás Arancibia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Tomás Espinoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Cristián Febre | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Toledo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Yerko Mundaca | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Salazar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Nicolás Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Ulloa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Byron Santelices | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Nicolás López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Mario Gajardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Tomás Echague | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Claudio Aravena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Elián Olivares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Iván Riquelme | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Fernando Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Díaz Toro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Vallejos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Mura | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Godoy | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Suárez Báez (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Roberto Romero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Joaquín Méndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Valencia (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás San Martín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Jeremy Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Riquelme (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Zamorano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Ángel Latorre | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Velásquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Hormazábal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gustavo Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Janson Garrido | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ochoa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Lagos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Finch | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Said Mena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Ojeda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Colossi | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Segovia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Pla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Meza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Muñoz Vidaurrázaga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Riady | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zúñiga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Gómez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
