- 25. Jorge Manduca Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Nicolás González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Francisco Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Leonardo Zamora | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Cubillos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. José Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Sebastián Ibarra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. David Henríquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Gaínza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Pablo Pedraza (BOL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Matías Ferrari | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brian Mendoza (VEN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Julián Rodríguez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Lucas Santiago Antúnez (BRA) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Pierre Durán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Benjamín Cayupi (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Saldías | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Bandez (VEN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Diego Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jaime Pizarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ethan Espinoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franz Schultz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Gaspar Di Pizio (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Blázquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro Navarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Rodrigo De Olivera (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Arriagada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Troncoso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Ayala | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Roger Cañas (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Martín Andrade (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Héctor Adomaitis (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. John Armijo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Salas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Campestrini (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Arias (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Volker | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Saldaña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Meza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Vidal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente López Mella | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 37. Juan José Soriano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Ignacio González Moretti | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gerardo Cortés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Colossi | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Wladimir Cid | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Herrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Aguilera Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Fernando Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Vidal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Eduardo Barahona | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Sánchez (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Osorio (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Hidalgo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jesrrel Gálvez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Belmar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kennet Lara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Danitza Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Riquelme | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maite Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Millaray Ulloa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Valentina Hernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Emmanuel Ledesma (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rayen Rosales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Marín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Exequiel Márquez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Natalie Lanuse | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Coronado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Salazar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Diaz (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Finch | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Incorvaia (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gino Alucema | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Visaguirre | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Ulloa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Romo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Smith (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gary Moya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Carvajal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alessandro Toledo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Bravo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Steven Almeida (MEX) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Gallegos (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Dib | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Antonio Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Orlando Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Mamani (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Monserrat Wolf | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Thiare Riquelme | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Munita | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Camila Acosta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Gabriela Guerra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina León | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Camila Cataldo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Paloma Urquieta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Stephany Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dafne Irribarra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marcos Uribe | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Yaritza Jara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Génesis Alvarado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Deyse Aguilera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Valentina Vallejos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Stephanie Alcayaga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Belén Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Urquieta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Candia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Poza (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Bravo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Ortiz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Salomón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Valdez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Llantén | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Navarrete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Erik Ottesen | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Ubal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Pardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Quiroga (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Harol Salgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Cristián Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eugenio Orellana (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Romo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Muriel Rodríguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lissette Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Saldaño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Vega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo García (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dominique Raipán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Montanares (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Simón Troncoso (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valentín Carpentier (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jasmín Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Karina Peralta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Milenka Sandoval | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando da Rosa (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
