- 12. Gustavo Muñoz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Cordero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gerardo Navarrete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Venegas (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Luis Gamonal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Muñoz Sáez (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Viana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Arancibia Olguin (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jesús Arancibia (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Aros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Brito | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jordy Contreras (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Corral | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cesar González Silva (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Matamala | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Allan Jorquera (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Fuentes Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Rodríguez Caballería (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Damián Sáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Torres Medina (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Faria (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Delfino | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Agustín Almarza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jaime Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ramón Clíment | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Troncoso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Diego Huerta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jhan Torres (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Domenico Ponce (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Quiñones (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Hormazábal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Antilef (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Mauricio Delgado (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Henríquez (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jhoyner Gómez (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Osorio (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Navarrete (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Martínez (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín González (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Dubó (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Martínez (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Martínez (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Cerda (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Pacheco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Painén (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Salaberry (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bautista González (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Neira | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Milan Tudor (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Guerra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Villegas (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Exequiel Poblete (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Cisternas (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martin del Campo (2004) | DEL (del) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Muñoz Quezada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Lecaros (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
