- 12. Ricardo Carcamo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Ángelo Novoa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Diego Calderón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Cristian Gaitán (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Vargas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Hernán Veras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Nuñez (Sub 20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Christian Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Diego González Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Ramón Sáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Arriagada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Arrué | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Darío Melo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Renato Ramos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Mosquera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Ibáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Jordano Cisterna | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Baeza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Oporto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Mathías López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Álvarez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Paolo Fuentes (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Ricardo González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Sebastián Moya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Pablo Benítez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Muñoz (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Marcelo Medel (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Fuentealba | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Roberto Reyes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Neira | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Rojas (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Alexis Machuca (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Pacheco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Óscar Del Solar | DEL (Del) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Miguel Jiménez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Bernedo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Montecinos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lautaro Rigazzi | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Sebastián Navarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dylan Aravena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Riveros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabrizio Manzo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Toledo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Molina (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Torres Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Jaime Caro (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Joaquín Verdugo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Alexander Bolaños (ECU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Sebastián Ibarra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. David Henríquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Sebastián Caro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Ambiado (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Roa (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gerardo Navarrete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Jelves | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luis Guajardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Vera (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Obregón (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Kirkman | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Matamala (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Zambrano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Guzmán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Lopes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Castillo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Vilches | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Fredes Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Pinilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jerhal Oliva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jhon Alegria (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Troncoso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. César Bustamante | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Padilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Lara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Sotomayor | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Caro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Hormazábal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Claudio Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Bayron Herrera (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Maureira (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Espinola (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Guerreño (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Christian Lovrincevich (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Manosalva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Huerta (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gary Tello | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Garrido (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dilan Acevedo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Saavedra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Valdivia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Escobar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Mesías | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Ramírez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ramirez (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Alejandro Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Astudillo (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Toro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Felipe Cornejo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Oñate (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Ramirez (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Levit Bejar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ulises Ojeda (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Núñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Manuel Suárez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Subiabre (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Fuentes (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Mancilla (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Aníbal Garay (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alessandro Sánchez (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Carrasco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Cornejo Padilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás L'Huillier (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- André Morales (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ángel Gillard (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Larrivey (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Escalona | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yasna Becerra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Norma Castilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yamsy Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Escarlet Fica | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yanka Cáceres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela Chandía | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gladys Esquivel | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fiorella Martínez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Olivares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Provoste | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara Carrillo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yanette Jorquera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Recabarren | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Karina Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Texia Garrido | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Antonio Zaracho | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alondra Doren | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Ormeño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francesca Cuadra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matilda Seguel | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristin Sanhueza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Astete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Cáceres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Zamora | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joseffa Oyarzo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Micaela Toloza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Sáez (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luis Antonio Lecaros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustina Larrahona | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Antonella Marín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gastón Gómez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Josué Ovalle | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Damaris Arroyo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nozomi Kimura | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Sandoval | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Patricio Almendra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Zacarías López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Abarzúa (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Sepulveda (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mario Salgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Aldrix Jara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Véjar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cesar Dutra (BRA) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Suárez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ethan Espinoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Rojas (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Henríquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leenhan Romero (VEN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Valencia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo González (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Cavalleri | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Vera (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Dávila | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nery Veloso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Norman Rodríguez (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Bascur | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fausto Grillo (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
