- 1. Diego Figueroa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Francisco Ibáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Héctor Vega Guerra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Ignacio Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Isaías Peralta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Vera Mardones | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Jorge Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Sebastián Pol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Naren Solano (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Pablo Leal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Patricio Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jorge Aravena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eric Pino | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Isaías Peralta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tommy Clark | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Víctor Cancino | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor González Chang | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mathías Vidangossy | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Paz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Matías Breit (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alex Reyes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Javier Vidal (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Enrique Fuentalba (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Jaime Opazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Nicolás Bobadilla (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Diego Astudillo (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. César Mariluán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Cristobal Brevis (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Quilapán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Boris Cisterna | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Ignacio Vargas (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Hernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Leonardo Cancino (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Pedro González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Marco Sebastián Pol (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Jerez Aguayo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Nicolás Servetto (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Pablo Duque | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Bryan Cabello | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Gastón Ada (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Arturo Norambuena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jürgen Press (ALE) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Moisés Calupi | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Jerez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zamora | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Javier Ramírez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Mario Parra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Byron Mina (ECU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Leandro Zazpe (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gastón Rodríguez (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Riffo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Fenolio | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Jorge Cristián Córdoba (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Josué Filún | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Rojas (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Alarcón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Guajardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Lucas Simón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fernando Ruiz (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Guillermo Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Cristián Amarilla (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Lautaro Peña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Ambiado (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Agustín Urra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Axel Arce (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Cristián Canío | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. David Pérez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Diego Fuentes Faúndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Germán Cavalieri (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Emiliano Bonfigli (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Facundo Krüger (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Uribe | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Fierro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Matías Fernández Correa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Riveros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Guerra Olguín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Pilar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Ramiro Gálvez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Rodrigo Linares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Labrín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Wilson Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Xabier Santos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Ángel Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Oyarzún | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Pablo Tamburrini | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mauricio Segovia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Paulo Garcés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luis Marcoleta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Sanhueza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Fuentes Jiménez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Beatriz Ríos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Valentina Romero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Catalina Llancao | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Javiera Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Estéfani Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Génesis Palma | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Damari Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Araceli Eugenín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Camila Yaeger | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Opazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Valentina Peña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Daniela De la Barra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Francisca Obando | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valeska Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Márquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Katalina Jiménez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Carla Briso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- María Fernanda Obando | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Vanessa Olivares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Mujica | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Almonacid | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alisson Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kimberly Bravo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Benjamín Mellado (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Nicolás Álvarez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Erwín Coronado (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Alexander Zahn (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Iker Pérez (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Matías Cárdenas (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Wastavino | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Benjamín Torres (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Benjamín Villarroel (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Diego Constanzo (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Nicolás Monsalve (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Luis Jara (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Máximo Pérez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Iván Asenjo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Benjamín Díaz (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Avello | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Gastón Barrientos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Kalise | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Estrada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Araya (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Martin Genskowski | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Pérez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Faúndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. John Jorquera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Villegas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Astete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Matías Pavez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Joel Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Isaac Aguilar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kirlye Navarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Rivera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gisella Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Renato González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Harding (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Samuel Abarzúa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joins Almonacid | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Escobar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Melivilú | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Arbello (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Medina | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Quezada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Neira | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Salas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Quezada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Cabrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Roberto Romero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Alejandro Maureira | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Casari (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Ruiz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Aqueveque | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Valentina Romero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Vicente Kalleg | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Villablanca | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Olearte | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pamela Coihuín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Canumán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Cristian Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Álvaro Alfaro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Carrasco (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Rivas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jocelyn González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- María Beatriz Ríos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sui-Mei Chang | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Torres González (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Matías Navarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Del Piero Benítez | DEL (Del) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Fuentealba | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Diego Sánchez Mandiola | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Felipe Quintana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Benjamín Carrasco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Andrade | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Diego Mancilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Cristóbal Paine | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Arias | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Guzmán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Benjamín Acuña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Navarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Tomás Hernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Benjamín Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Diego Ramírez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Manfred Vera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Guzmán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Damián Moreno | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Povea | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Samuel López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Espinoza Farías | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Garrido | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Pérez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Vidal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicholas Belmar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Povea | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Villagra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alfonso Cabrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Burgos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Rosas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio André Ruiz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Norambuena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Sepúlveda Valdés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Acuña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
