- Carol Negrón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Emilio Gaspar Müller | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Fernando Saavedra Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Díaz Vera (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Ezequiel Cuevas (MEX) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Ramos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Marco Bueno | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Leiva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Óscar Salinas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Pablo Sánchez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Javier Torrente | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gustavo Díaz (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álex Ibacache | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián San Juan | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Isaac Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Concha | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Campestrini (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Ragusa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Gonzalo Freitas (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Fernando Arismendi | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Cerato | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Rozas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Peña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Berríos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Henríquez (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Emilio Gaspar Müller (Sub 20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Vergara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Raúl Cerqueira (POR) | ARQ (POR) | Edad: N/A | N??: N/A | Valor: N/A
- Marinka Huircán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Mariñelarena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Romina Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Villanueva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Katherinne Ojeda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Walter González (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Carvallo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lawrence Vigouroux | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Cabrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Javier Torrente (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Sebastián Pol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Santelices | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Johnny Herrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Echeverría | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Fernando Saavedra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Jorge Díaz Price (MEX) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Lobos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Rubio | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Medina | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Sebastián Sasso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Francisco Robles (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Jonathan Copete (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Cristián Menéndez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Denil Maldonado (HON) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gary Moya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Juan Martín Román (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustina Moya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fernando Nogara (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maura Gómez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Roberto Sensini (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Christian Ochoa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Bravo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Oyarzún | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Julio Barroso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Campos López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gianfranco Sepúlveda (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cecilio Waterman (PAN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- César Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Paulina Pinto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Daniela Salah | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Barrios | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudia Salfate | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mariana Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Pezoa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Milenka Pavez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca López Campusano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Belén Bustos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Fernanda Talavera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Josefa Moya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Trinidad Bernales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Francisca Vidal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valery Otárola | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Catalina Cohen | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Pablo Guerra (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Valerie Echeverria | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Vania Umaña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gloria Cantillana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Martina Cordova | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcia Roldán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Briones | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cony Guerrero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Gabriela Carrasco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Antonio Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mitchell Wassenne | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Delgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Janis Marcoleta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Díaz Desidel | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Matías Jadue | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Cañozales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro Campos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Riquelme | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dilan Vera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Emmanuel Arismendi | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando De Paul | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Kirkman | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- John Salas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Adrián Sánchez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ismael Sosa (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Di Yorio (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lautaro Pastrán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Meneghini (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Campos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Vega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Chadwick (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Emiliano Ramos (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Navarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Sosa Sánchez (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Janner Corozo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Mamani (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jhoagny Contreras (VEN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Isaac Esquenazi (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Torres Matus | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Espejo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Montes (MEX) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Sáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Cárcamo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Castro (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela Hernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Farías | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. María Eugenia Cortez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Antonella Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Scarlett Godoy | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Valentina González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ariagny Becerra (VEN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Camila Cuello | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alessandra Brito (BRA) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Emilia Rivas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacia Pizarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Allende | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- María Gracia Rosales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Sequeira (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Melany Santibáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Oriana Cristancho | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joan Cruz (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Nayaret Gamboa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Bernal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 32. María Paz Correa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Monserrat Guerra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Katheryn Holm | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Colomba Jamett | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza González Hidalgo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sheyko Studer (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Asta-buruaga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lukas Cifuentes (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Baeza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Villagrán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Ugarte (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Axl Ríos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Omar Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Braian Martínez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Méndez (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Martínez (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Contreras (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Betancor (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Davis González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Esteban Solari (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- María Fernanda Pontes (BRA) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Saavedra (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Palma (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Aileen Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcella Egami (BRA) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Guzmán (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Katalina Treverton | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Bauermann (BRA) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Delgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vitoria Araujo Soares (BRA) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Almirón (PAR) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Janette Lima (BRA) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eskárlet Godoy | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Natalia Pizarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Krishnna Valdés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan dos Santos (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Emerson Panigutti (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Ardiles (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Raimundo Rebolledo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ramiro González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hugo Magallanes (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Moya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Medina (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Guzmán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Enrique Serje (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Palacios | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Hernández (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Ramírez (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Piñeiro (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gustavo Leal (BRA) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mía Ivroud (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Arlette Reineros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Macarena Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Florencia Gálvez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Zamorano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Renata Lizana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yordana Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Melissa Bustos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Hernández (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucciano Maggio (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Excequiel Bustamante (2008) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lukas Urriola (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Salas (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Amaro León (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Ramirez (2008) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Isaac Madriaza (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Olivares (2008) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Paredes (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Sariego (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Génesis Riveros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gustavo Dalsasso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mauricio Larriera (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Guzmán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- María Jesús Vásquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Vásquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Julián Alfaro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Hernández (MEX) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Casatte | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustina Zepeda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Cisterna | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Tapia Gomes (2008) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christopher Barrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diéter Villalpando (MEX) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Félix Barrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Londoño (COL) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Reinoso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valentín Vidal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Rebolledo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
