- 12. David Pérez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Oyarzún Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mathias Gallardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Molina (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Héctor Letelier | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Antilef (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Martínez (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Salvador Cortes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Eduardo Lobos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yonathan Suazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Parry | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Camilo Pontoni | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kameron Campos (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Merino | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Retamal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Flores (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franz Schultz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Valdivia (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Cordero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Axel Cortés Urqueta (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Droguett | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego González Saavedra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alberto Letelier (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Flavio Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Soza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Zúñiga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Cerato | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Peñaloza (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Andy Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Valdés (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rodrigo Valdes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rodrigo Meléndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Forttes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Acevedo (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Fuentealba | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Urzúa (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Aros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- David Tati | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Pereira Fuentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Lee-Chong | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hugo Toro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Willian Gama (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Sánchez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Gallardo (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Bravo González (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Palma (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Duma (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Matías Pavez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kurt González (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Vásquez (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jorge Carrasco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Díaz Dueñas (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Orellana (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Araya (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Painén (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Espinoza (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
