- 25. Boris Pérez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Eryin Sanhueza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Reinaldo Ahumada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Enzo Ruiz (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Simón Arias | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Santelices | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Arenas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcel Cortez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- César Díaz (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Josué Ovalle | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Francisco Robles (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ariel Pereyra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Navarrete (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Giovanni Bustos (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Penroz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Patricio Vidal (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ezequiel Naya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Lara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. José Osorio | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Cáceres Galarce (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ramírez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yesenia Valdés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Johanna Villagra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Paula Meza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Karina Opazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Briones | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Solange Galaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Ignacio Huguenet (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jaime Vera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Antonia Loyola | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Pacheco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Zúñiga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bernardo Mendoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Taiva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Vergara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Darío Melo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Erick Millalén | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Quiroz Baigorria | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Arenas (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Mesías | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Quiñones (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jesús Arancibia (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mirko Serrano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valentín Demateis (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Hernán Peña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Becerra (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Pablo Ramírez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Valentina Hernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Jennifer Manzo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Andrea Petranyi Ross | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Jeniffer Núñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Alejandra Aguirre | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Analicia Arias | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Yunitza Cabrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Antonia Verluys | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Maite Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Camila Álvarez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Camila Ocaranza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Scarleth Céspedes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Alyn Zamorano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Ivania Manzo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Karen Vera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Millaray Zárate | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Almendra Velarde | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Isidora Quezada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Martina Acevedo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Emiliano Astorga Jr. | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Nayael Bravo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Danitza Carrere | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marcelo Palma | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Paul Pineda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Tharin Pereira | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Katherine Vargas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Pierina Leiva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Fuentes Vásquez (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gabriel Rodríguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Belén Caro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Basaure (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jarol Pizarro (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Rodríguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Albano Becica (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Opazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Matías Pavez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Harding (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gianfranco Sepúlveda (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Tapia Pavez (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Inostroza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Oscar Castillo (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Martínez Álvarez (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yodilan Cruz (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Hernández (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Luarte (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Valencia (2002) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Santelices | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Maturana Caneo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lukas Arce (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Cofré (2008) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marcos Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Jaque (2003) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Morales (2004) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Aravena (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Meneses (2011) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Barros (2005) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
